,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
0,Kotak Corporate Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,1035.21,5.05,3.69,5.29,5000.0,0.67,"1,000.00"
1,Kotak Corporate Bond Fund(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,3133.58,5.05,3.69,5.32,5000.0,0.67,"1,000.00"
2,Aditya Birla SL Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.2,5.21,4.10,4.45,1000.0,0.34,N/A
3,Aditya Birla SL Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,5,356.66,5.21,4.17,5.28,1000.0,0.34,"1,000.00"
4,Aditya Birla SL Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.34,5.10,4.08,4.43,1000.0,0.34,N/A
5,Aditya Birla SL Money Manager Fund(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,100.18,6.15,5.19,5.01,1000.0,0.33,"1,000.00"
6,Aditya Birla SL Money Manager Fund(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,100.02,6.16,5.18,4.99,1000.0,0.33,"1,000.00"
7,Aditya Birla SL Money Manager Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,309.99,6.15,5.18,5.08,1000.0,0.33,"1,000.00"
8,Aditya Birla SL Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,93.46,5.76,4.27,6.25,1000.0,0.47,"1,000.00"
9,Aditya Birla SL Corp Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,12.23,5.76,4.27,6.15,1000.0,0.47,"1,000.00"
10,Aditya Birla SL Savings Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,100.0,5.96,5.02,5.08,1000.0,0.52,"1,000.00"
11,Aditya Birla SL Savings Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,460.06,5.96,5.04,5.16,1000.0,0.52,"1,000.00"
12,Aditya Birla SL Savings Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,100.42,5.77,4.94,5.04,1000.0,0.52,"1,000.00"
13,Canara Rob Emerg Equities Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,160.64,-0.28,15.38,11.05,5000.0,1.71,"1,000.00"
14,Canara Rob Emerg Equities Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,60.67,-0.31,15.37,10.74,5000.0,1.71,"1,000.00"
15,DSP Savings Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,44.45,5.82,4.37,4.48,1000.0,0.51,"1,000.00"
16,DSP Savings Fund-Reg(M-IDCW Reinv), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,10.84,5.82,4.37,4.43,1000.0,Nil,N/A
17,DSP Liquidity Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,3161.39,5.20,4.13,5.21,1000.0,0.27,"1,000.00"
18,DSP Liquidity Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1000.9,5.20,4.05,4.39,1000.0,0.27,"1,000.00"
19,DSP Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,22.75,-2.60,11.27,8.16,1000.0,1.76,"1,000.00"
20,DSP Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,85.55,-2.62,11.75,8.73,1000.0,1.76,"1,000.00"
21,PGIM India Emerging Markets Equity Fund(G), FoFs (Overseas), Open ended, MSCI EMU Index,5,11.89,-24.34,-7.16,-2.90,5000.0,2.38,N/A
22,Franklin India Focused Equity Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,29.95,5.81,18.42,11.54,5000.0,1.87,"1,000.00"
23,Franklin India Focused Equity Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,70.25,5.81,18.42,11.97,5000.0,1.87,"1,000.00"
24,Franklin India Prima Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,65.99,4.61,14.89,8.65,5000.0,1.89,"1,000.00"
25,Franklin India Prima Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,1515.19,4.61,14.89,8.87,5000.0,1.89,"1,000.00"
26,IDFC Cash Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1001.08,5.21,4.04,4.34,1000.0,0.25,"1,000.00"
27,IDFC Cash Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,2677.77,5.18,4.08,5.13,1000.0,0.25,"1,000.00"
28,IDFC Cash Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1003.32,5.18,4.00,4.32,1000.0,0.25,"1,000.00"
29,IDFC Cash Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1002.09,5.18,4.02,4.33,1000.0,0.25,"1,000.00"
30,IDFC Money Manager Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.1,5.33,4.36,3.93,1000.0,0.93,"1,000.00"
31,IDFC Money Manager Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,34.17,5.29,4.37,3.99,1000.0,0.93,"1,000.00"
32,IDFC Money Manager Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.28,5.30,4.37,3.92,1000.0,0.93,"1,000.00"
33,IDFC Money Manager Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.13,5.30,4.37,3.95,1000.0,0.93,"1,000.00"
34,IDFC Bond Fund - Short Term Plan-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,10.43,4.36,2.86,4.75,1000.0,0.77,"1,000.00"
35,IDFC Bond Fund - Short Term Plan-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,47.7,4.42,2.89,4.86,1000.0,0.77,"1,000.00"
36,IDFC Bond Fund - Short Term Plan-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,10.38,4.42,2.89,4.74,1000.0,0.77,"1,000.00"
37,HDFC Money Market Fund(DD-IDCW Reinv), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,1063.64,6.00,5.06,4.94,1000.0,Nil,N/A
38,HDFC Money Market Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,4798.55,6.04,5.08,5.03,1000.0,0.41,"1,000.00"
39,HDFC Money Market Fund(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,1063.59,6.07,5.08,4.99,1000.0,Nil,N/A
40,HDFC Flexi Cap Fund(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,5,61.37,14.07,19.68,11.78,1000.0,1.77,"1,000.00"
41,HDFC Flexi Cap Fund(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,5,1152.57,13.99,20.31,12.39,1000.0,1.77,"1,000.00"
42,HDFC Index Fund-NIFTY 50 Plan(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,5,167.62,4.63,14.80,12.11,1000.0,0.4,"1,000.00"
43,HDFC Index Fund-S&P BSE Sensex(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,5,555.47,6.32,14.80,13.02,1000.0,0.4,N/A
44,HDFC Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1019.82,5.12,4.00,4.33,10000.0,0.3,N/A
45,HDFC Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,5,4347.42,5.15,4.08,5.15,1000.0,0.3,"1,000.00"
46,HDFC Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1029.38,5.15,4.04,4.36,5000.0,0.3,N/A
47,HDFC Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1031.55,5.15,4.01,4.35,5000.0,0.3,N/A
48,Canara Rob Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1000.17,5.25,3.88,4.26,5000.0,0.18,"1,000.00"
49,ICICI Pru Balanced Advantage Fund(IDCW), Hybrid - Balanced Advantage, Open ended, CRISIL Hybrid 50+50 - Moderate Index,5,16.52,7.00,11.42,9.52,1000.0,1.56,"1,000.00"
50,ICICI Pru Balanced Advantage Fund(G), Hybrid - Balanced Advantage, Open ended, CRISIL Hybrid 50+50 - Moderate Index,5,53.02,7.05,11.28,9.72,1000.0,1.56,"1,000.00"
51,ICICI Pru Value Discovery Fund(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,5,33.12,10.08,25.12,13.49,1000.0,1.74,"1,000.00"
52,ICICI Pru Value Discovery Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,5,281.36,10.10,25.48,13.97,1000.0,1.74,"1,000.00"
53,ICICI Pru Savings Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,5,452.95,7.08,4.89,5.43,1000.0,0.49,"1,000.00"
54,ICICI Pru Savings Fund(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,5,105.55,7.08,4.89,5.40,1000.0,0.49,"1,000.00"
55,ICICI Pru Savings Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,5,105.74,7.04,4.87,5.39,1000.0,0.49,"1,000.00"
56,ICICI Pru Nifty 50 Index Fund(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,5,177.86,4.60,14.78,11.89,1000.0,0.35,"1,000.00"
57,ICICI Pru Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.15,5.14,4.06,4.40,1000.0,0.29,"1,000.00"
58,ICICI Pru Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,5,327.87,5.14,4.14,5.23,1000.0,0.29,"1,000.00"
59,ICICI Pru Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.21,5.14,4.06,4.41,1000.0,0.29,"1,000.00"
60,ICICI Pru Money Market Fund(DD-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,100.13,6.08,5.10,4.82,1000.0,0.31,"1,000.00"
61,ICICI Pru Money Market Fund(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,318.04,6.09,5.10,4.90,1000.0,0.31,"1,000.00"
62,ICICI Pru Money Market Fund(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,100.74,6.09,5.10,4.82,1000.0,0.31,"1,000.00"
63,Kotak Equity Hybrid Fund(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,5,24.56,5.18,15.21,10.92,5000.0,1.98,"1,000.00"
64,Kotak Emerging Equity Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,42.07,7.66,20.37,13.33,1000.0,1.69,"1,000.00"
65,Kotak Emerging Equity Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,76.6,7.66,20.37,13.58,1000.0,1.69,"1,000.00"
66,Kotak Equity Arbitrage Fund(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,5,10.76,4.84,4.26,4.75,5000.0,1.01,"1,000.00"
67,Kotak Equity Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,5,31.56,4.84,4.31,5.04,5000.0,1.01,"1,000.00"
68,Kotak Money Market Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,3767.74,6.05,5.20,4.74,5000.0,Nil,N/A
69,Kotak Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1222.81,5.12,4.01,4.36,1000.0,0.32,N/A
70,Kotak Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,4479.47,5.12,4.08,5.17,1000.0,0.32,N/A
71,Kotak Small Cap Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,5,70.81,0.40,25.61,14.70,1000.0,1.87,"1,000.00"
72,Kotak Small Cap Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,5,162.32,0.39,26.02,15.01,1000.0,1.87,"1,000.00"
73,Kotak Equity Opp Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,36.43,7.24,15.83,11.93,1000.0,1.77,"1,000.00"
74,Kotak Equity Opp Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,208.83,7.25,15.92,12.44,1000.0,1.77,"1,000.00"
75,Invesco India Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1002.76,5.22,4.05,4.38,1000.0,0.22,"1,000.00"
76,Invesco India Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,3043.26,5.21,4.11,5.19,1000.0,0.22,"1,000.00"
77,Invesco India Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1005.97,5.21,4.02,4.36,1000.0,0.22,"1,000.00"
78,Invesco India Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1008.52,5.21,4.04,4.38,1000.0,0.22,"1,000.00"
79,Nippon India Money Market Fund(DD-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,1003.68,6.21,5.31,4.85,10000.0,0.34,"10,000.00"
80,Nippon India Money Market Fund(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,3479.25,6.20,5.31,4.92,1000.0,0.34,"1,000.00"
81,Nippon India Money Market Fund(M-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,1016.93,6.21,5.31,4.87,1000.0,0.34,"1,000.00"
82,Nippon India Money Market Fund(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,1005.18,6.21,5.31,4.86,1000.0,0.34,"1,000.00"
83,Nippon India Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1528.74,5.14,4.06,4.43,10000.0,0.34,"10,000.00"
84,Nippon India Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,5407.23,5.14,4.13,5.26,1000.0,0.34,"1,000.00"
85,Nippon India Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1589.95,5.14,3.74,4.23,1000.0,0.34,"1,000.00"
86,Nippon India Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1531.91,5.15,4.07,4.45,5000.0,0.34,"1,000.00"
87,SBI Savings Fund-Reg(IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,13.84,5.63,4.64,4.40,1000.0,0.75,"1,000.00"
88,SBI Savings Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,35.09,5.63,4.64,4.43,1000.0,0.75,"1,000.00"
89,SBI Savings Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,13.06,5.63,4.64,4.35,1000.0,0.75,"1,000.00"
90,SBI Magnum Ultra Short Duration Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,5,1902.13,5.78,4.75,4.48,5000.0,0.49,"1,000.00"
91,SBI Magnum Ultra Short Duration Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,5,1224.24,5.78,4.76,4.48,5000.0,0.49,"1,000.00"
92,SBI Magnum Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,5,5051.14,5.77,4.75,4.54,5000.0,0.49,"1,000.00"
93,SBI Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1124.33,5.15,4.05,4.37,5000.0,0.28,N/A
94,SBI Liquid Fund-Reg(FN-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1137.79,5.15,4.07,4.39,5000.0,0.28,N/A
95,SBI Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,3466.97,5.15,4.12,5.19,1000.0,0.28,"1,000.00"
96,SBI Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1190.0,5.15,4.06,4.37,5000.0,0.28,N/A
97,IDFC Low Duration Fund-Reg(DD-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,10.1,5.39,4.32,4.62,1000.0,0.57,"1,000.00"
98,IDFC Low Duration Fund-Reg(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,32.57,5.39,4.30,4.68,1000.0,0.57,"1,000.00"
99,IDFC Low Duration Fund-Reg(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,10.13,5.39,4.30,4.57,1000.0,0.57,"1,000.00"
100,IDFC Low Duration Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,10.12,5.39,4.30,4.61,1000.0,0.57,"1,000.00"
101,UTI Liquid Cash Plan-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,3632.06,5.21,4.15,5.25,1000.0,0.23,N/A
102,UTI Liquid Cash Plan-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1073.59,5.21,4.09,4.43,20000.0,0.23,N/A
103,UTI Liquid Cash Plan-Reg(M-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1048.95,5.21,4.11,4.44,20000.0,0.23,N/A
104,UTI Liquid Cash Plan-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1053.11,5.21,4.05,4.41,20000.0,0.23,N/A
105,UTI Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,5,121.26,4.77,15.03,12.30,5000.0,0.3,"1,000.00"
106,UTI Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,5,61.09,4.77,15.03,12.30,5000.0,0.3,"1,000.00"
107,UTI Value Opp Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,5,30.33,4.31,16.01,11.56,5000.0,1.91,"1,000.00"
108,UTI Value Opp Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,5,104.07,4.31,16.01,11.87,5000.0,1.91,"1,000.00"
109,IDFC Sterling Value Fund-Reg(G), Equity - Value Fund, Open ended, S&P BSE 500 - TRI,5,93.54,5.12,23.35,10.55,1000.0,1.91,"1,000.00"
110,IDFC Sterling Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, S&P BSE 500 - TRI,5,30.56,5.12,23.02,10.37,1000.0,1.91,"1,000.00"
111,Mirae Asset Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,5,79.56,2.14,13.78,10.96,5000.0,1.58,"1,000.00"
112,Mirae Asset Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,5,24.02,2.14,13.78,10.54,5000.0,1.58,"1,000.00"
113,Canara Rob Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1005.5,5.24,3.91,4.28,5000.0,0.18,"1,000.00"
114,Canara Rob Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,2663.64,5.25,3.98,5.08,5000.0,0.18,"1,000.00"
115,Mirae Asset Cash Management-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,2322.19,5.21,4.15,5.23,5000.0,0.27,"1,000.00"
116,Mirae Asset Cash Management-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1066.43,5.22,4.09,4.41,5000.0,0.27,"1,000.00"
117,Mirae Asset Cash Management-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1152.76,5.22,4.11,4.43,5000.0,0.27,"1,000.00"
118,Aditya Birla SL Floating Rate Fund(G), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,5,290.16,6.07,5.11,5.50,1000.0,0.45,"1,000.00"
119,ICICI Pru Corp Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,10.42,6.63,4.89,5.86,1000.0,0.53,"1,000.00"
120,Edelweiss Balanced Advantage Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,5,36.78,2.66,13.23,10.31,5000.0,1.75,"1,000.00"
121,Edelweiss Balanced Advantage Fund-Reg(Q-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,5,17.33,2.63,13.15,10.01,5000.0,1.75,"1,000.00"
122,ICICI Pru Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,24.74,6.63,4.89,5.98,1000.0,0.53,"1,000.00"
123,Axis Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,2463.04,5.26,4.19,5.29,1000.0,0.22,N/A
124,Axis Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1001.4,5.26,4.11,4.45,5000.0,0.22,N/A
125,Axis Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1005.21,5.26,4.13,4.46,5000.0,0.22,N/A
126,Aditya Birla SL Floating Rate Fund(W-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,5,100.18,6.05,5.08,5.40,1000.0,0.45,"1,000.00"
127,HDFC Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,26.93,5.52,3.47,5.77,1000.0,0.6,"1,000.00"
128,Axis Bluechip Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,5,43.24,-3.89,8.94,11.66,1000.0,1.65,"1,000.00"
129,Axis Bluechip Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,5,17.43,-3.85,8.55,11.18,1000.0,1.65,"1,000.00"
130,HDFC Corp Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,10.34,5.51,3.47,5.62,1000.0,0.6,"1,000.00"
131,Axis Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,5,63.63,-8.64,6.75,9.21,1000.0,1.6,"1,000.00"
132,Axis Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,5,22.41,-8.64,6.75,8.72,1000.0,1.6,"1,000.00"
133,Nippon India Liquid Fund(Q-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1012.72,5.14,4.00,4.39,1000.0,0.34,"1,000.00"
134,Nippon India Money Market Fund(Q-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,1020.33,6.20,5.31,4.81,1000.0,0.34,"1,000.00"
135,Mirae Asset Emerging Bluechip-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,95.41,-1.06,17.43,13.65,5000.0,1.63,"1,000.00"
136,Mirae Asset Emerging Bluechip-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,37.3,-1.06,17.43,13.22,5000.0,1.63,"1,000.00"
137,ICICI Pru Corp Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,10.87,6.63,4.89,5.87,1000.0,0.53,"1,000.00"
138,ICICI Pru Nifty Next 50 Index Fund(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,5,34.04,-6.46,10.22,5.11,1000.0,0.65,"1,000.00"
139,ICICI Pru Nifty Next 50 Index Fund(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,5,34.04,-6.46,10.22,5.11,1000.0,0.65,"1,000.00"
140,HDFC Short Term Debt Fund(G), Debt - Short Duration Fund, Open ended, N/A,5,26.58,5.31,3.81,5.64,1000.0,0.78,"1,000.00"
141,HDFC Short Term Debt Fund(FN-IDCW), Debt - Short Duration Fund, Open ended, N/A,5,10.21,5.30,3.82,5.58,1000.0,0.78,"1,000.00"
142,Axis Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,5,66.75,0.03,16.01,14.98,1000.0,1.78,"1,000.00"
143,Axis Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,5,32.6,0.02,15.64,14.49,1000.0,1.78,"1,000.00"
144,Aditya Birla SL Floating Rate Fund(DD-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,5,100.0,6.07,5.04,5.39,1000.0,0.45,"1,000.00"
145,Kotak Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,5,22.62,12.41,10.12,12.00,5000.0,0.54,"1,000.00"
146,Kotak Gold Fund(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,5,22.62,12.41,10.12,12.00,5000.0,0.54,"1,000.00"
147,Axis Focused 25 Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,38.27,-12.45,5.42,8.30,1000.0,1.82,"1,000.00"
148,Axis Focused 25 Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,18.26,-12.42,5.04,7.82,1000.0,1.82,"1,000.00"
149,Axis Banking & PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,5,2214.02,4.55,3.91,5.14,5000.0,0.63,"1,000.00"
150,Axis Banking & PSU Debt Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,5,1038.61,4.55,3.90,5.10,5000.0,0.63,"1,000.00"
151,Axis Banking & PSU Debt Fund-Reg(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,5,1037.81,4.55,3.91,5.12,5000.0,0.63,"1,000.00"
152,Axis Banking & PSU Debt Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,5,1033.99,4.55,3.91,5.05,5000.0,0.63,"1,000.00"
153,DSP Low Duration Fund-Reg(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,16.74,5.42,4.47,4.66,1000.0,0.62,"1,000.00"
154,DSP Low Duration Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,5,10.13,5.42,4.47,4.52,1000.0,0.62,"1,000.00"
